,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,cook,comfort_food_reasons_coded,cuisine,diet_current_coded,drink,eating_changes_coded,eating_out,employment,ethnic_food,exercise,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
0,2.4,2,1,430,3.0283018867924527,315.0,1,none,2.0,9,1.0,1,1.0,1,3,3.0,1,1.0,3,1.0,rice  and chicken ,2,5,2,5,2,8,5.0,5,5,1.0,1.0,5,1.0,1.0,2,5.0,3.0,1.0,1.0,1,1165.0,345,5,1,1315,187.0
1,3.654,1,1,610,3.0,420.0,2,"chocolate, chips, ice cream",3.0,1,1.0,2,2.0,1,2,2.0,4,1.0,1,1.0,"chicken and biscuits, beef soup, baked beans",1,4,4,4,5,3,4.0,4,4,1.0,2.0,4,1.0,1.0,4,4.0,3.0,1.0,1.0,2,725.0,690,4,2,900,155.0
4,3.5,1,1,720,2.0,420.0,2,"Ice cream, chocolate, chips ",1.0,1,2.0,2,2.0,3,2,2.0,4,1.0,1,3.0,"Pasta, chicken tender, pizza ",1,4,4,4,6,2,6.0,2,5,1.0,1.0,3,1.0,1.0,4,2.0,4.0,1.0,1.0,4,940.0,500,4,2,760,190.0
5,2.25,1,1,610,3.0,980.0,2,"Candy, brownies and soda.",3.0,4,1.0,2,2.0,1,1,3.0,4,2.0,6,3.0,"Fries, plaintain & fried fish",1,2,2,2,4,2,1.0,5,5,4.0,2.0,1,1.0,2.0,5,5.0,5.0,1.0,2.0,4,940.0,345,1,2,1315,190.0
6,3.8,2,1,610,3.0,420.0,2,"Chocolate, ice cream, french fries, pretzels",2.0,1,1.0,3,1.0,2,2,3.0,5,1.0,4,1.0,"grilled chicken, hamburgers",1,4,4,5,4,2,4.0,5,5,8.0,1.0,4,2.0,2.0,2,5.0,4.0,1.0,1.0,5,940.0,690,4,1,1315,180.0
7,3.3,1,1,720,3.0,420.0,1,"Ice cream, cheeseburgers, chips.",3.0,1,1.0,1,2.0,2,2,2.0,2,2.0,5,1.0,"chicken, cheesey potatoes, and hot dogs",1,5,2,3,3,2,5.0,1,3,3.0,1.0,4,1.0,1.0,5,1.0,3.0,1.0,2.0,1,725.0,500,4,2,1315,137.0
8,3.3,1,1,430,3.0283018867924527,420.0,1,"Donuts, ice cream, chips",3.0,2,1.0,1,1.0,2,5,2.0,5,1.0,1,3.0,"Shrimp, spaghetti",1,4,1,5,7,6,5.0,5,5,8.0,2.0,2,1.0,2.0,3,5.0,4.0,2.0,2.0,5,725.0,345,3,2,760,180.0
9,3.3,1,1,430,3.0,315.0,2,"Mac and cheese, chocolate, and pasta ",3.0,1,1.0,1,1.0,1,3,3.0,5,1.0,1,1.0,"Pasta, Eggs, Pancakes ",1,5,1,5,3,2,4.0,4,5,3.0,2.0,5,1.0,3.0,3,4.0,3.0,1.0,1.0,4,580.0,345,5,1,900,125.0
10,3.5,1,1,610,3.0,980.0,2,"Pasta, grandma homemade chocolate cake anything homemade ",1.0,2,1.0,1,2.0,3,2,1.0,5,1.0,4,1.0,Chicken,1,5,3,1,9,7,3.0,1,5,8.0,1.0,2,3.0,1.0,2,2.0,1.0,1.0,1.0,2,940.0,345,5,2,900,116.0
11,3.904,1,1,720,4.0,420.0,2,"chocolate, pasta, soup, chips, popcorn",3.0,3,1.0,1,1.0,4,1,2.0,5,1.0,1,1.0,Scalloped potatoes and ham ,1,5,2,5,1,2,5.0,5,5,1.0,2.0,5,1.0,1.0,3,5.0,2.0,1.0,1.0,5,940.0,500,5,1,900,110.0
12,3.4,2,1,430,3.0,420.0,2,"Cookies, popcorn, and chips",5.0,3,1.0,1,2.0,2,1,3.0,4,3.0,4,3.0,"Pizza, chicken wings, and corn on the cob ",1,4,1,3,9,1,5.0,3,4,9.0,2.0,2,1.0,2.0,2,3.0,5.0,2.0,1.0,3,940.0,500,3,2,575,264.0
13,3.6,1,1,610,3.0,420.0,2,"ice cream, cake, chocolate",2.0,1,1.0,2,2.0,1,4,2.0,5,2.0,1,1.0,"steak, lasagna, crab",1,5,3,4,8,2,5.0,3,5,10.0,2.0,2,2.0,2.0,3,3.0,3.0,1.0,1.0,5,1165.0,850,5,2,1315,123.0
14,3.1,2,1,610,3.0,420.0,2,"Pizza, fruit, spaghetti, chicken and Potatoes  ",3.0,2,1.0,1,2.0,3,2,3.0,4,2.0,4,3.0,Pizza,1,5,3,4,2,1,5.0,2,3,1.0,1.0,2,2.0,2.0,3,1.0,3.0,1.0,1.0,4,940.0,500,5,1,900,185.0
16,4.0,1,1,265,3.0,420.0,1,"Saltfish, Candy and Kit Kat ",3.0,1,1.0,1,1.0,2,1,2.0,2,2.0,7,1.0,"Curry, Stew Chicken and Saltfish",1,5,1,2,7,2,1.0,5,3,9.0,2.0,4,1.0,2.0,2,2.0,3.0,1.0,2.0,1,580.0,345,5,1,760,145.0
17,3.6,2,1,430,3.0,980.0,2,"chips, cookies, ice cream",3.0,2,1.0,3,2.0,1,2,3.0,4,1.0,5,3.0,"chicken fingers, steak, mac and cheese",1,3,1,3,8,1,6.0,3,5,7.0,2.0,4,1.0,1.0,6,2.0,2.0,1.0,1.0,3,940.0,500,4,2,900,170.0
18,3.4,1,1,720,3.0,980.0,1,"Chocolate, ice crea ",3.0,3,1.0,1,1.0,4,3,2.0,1,3.0,5,3.0,Chicken,1,5,2,3,6,2,5.0,1,5,9.0,2.0,2,1.0,1.0,2,1.0,3.0,2.0,2.0,1,1165.0,690,5,1,1315,135.0
20,3.3,2,1,610,3.0,980.0,2,"Fast food, pizza, subs",5.0,7,1.0,2,2.0,1,4,2.0,4,1.0,2,3.0,"pizza, chicken fingers",1,2,2,2,5,1,6.0,1,4,2.0,1.0,2,1.0,1.0,2,1.0,6.0,1.0,1.0,1,1165.0,850,3,2,1315,175.0
22,3.7,2,1,610,3.0,420.0,1,"burgers, chips, cookies",5.0,3,2.0,1,1.0,1,1,2.0,3,1.0,1,1.0,pasta,2,4,1,4,2,2,6.0,5,5,5.0,1.0,3,1.0,3.0,5,2.0,2.0,1.0,1.0,4,940.0,850,3,1,1315,185.0
23,3.7,2,2,610,3.0,420.0,2,"Chilli, soup, pot pie",4.0,1,1.0,1,1.0,1,2,2.0,5,3.0,4,1.0,Chicken Nuggets,1,3,3,2,4,1,4.0,4,5,5.0,1.0,2,1.0,2.0,3,2.0,3.0,1.0,1.0,4,940.0,690,4,1,1315,185.0
24,3.9,1,1,720,2.0,420.0,2,"Soup, pasta, brownies, cake",1.0,6,1.0,1,2.0,1,4,3.0,4,1.0,4,1.0,Spaghetti ,1,4,3,5,5,2,4.0,3,5,2.0,2.0,2,1.0,1.0,3,3.0,4.0,2.0,2.0,4,940.0,500,4,2,1315,105.0
25,2.8,1,2,720,3.0,420.0,2,"chocolate, ice cream/milkshake, cookies",3.0,2,1.0,1,1.0,3,2,3.0,2,1.0,0,3.0,"Chicken parm, beef stroganof, tacos",1,4,1,3,8,2,6.0,3,3,5.0,1.0,4,1.0,1.0,3,3.0,3.0,1.0,1.0,3,1165.0,690,3,2,760,125.0
26,3.7,2,1,610,2.0,420.0,1,"Chips, ice cream, microwaveable foods ",3.0,2,1.0,1,1.0,1,2,2.0,2,1.0,1,1.0,"Chicken Parm, Pizza ",1,3,2,1,9,5,5.0,1,5,9.0,2.0,2,1.0,1.0,4,1.0,2.0,2.0,1.0,2,1165.0,850,3,2,1315,160.0
27,3.0,2,1,610,4.0,980.0,2,"Chicken fingers, pizza ",4.0,2,1.0,1,2.0,2,2,3.0,3,1.0,2,1.0,Steak,1,5,1,3,9,6,6.0,3,4,9.0,2.0,4,1.0,1.0,6,2.0,2.0,1.0,1.0,3,1165.0,500,5,1,1315,175.0
28,3.2,2,1,610,2.0,420.0,2,"cookies, hot chocolate, beef jerky",2.0,2,2.0,2,1.0,1,2,2.0,2,2.0,1,1.0,"Deer Steak, Buttered Pasta, Garlic Pasta",1,3,3,1,4,7,5.0,1,5,3.0,1.0,5,1.0,1.0,3,2.0,3.0,1.0,2.0,1,940.0,500,2,1,1315,180.0
29,3.5,2,1,265,2.0,420.0,2,"Tomato soup, pizza, Fritos, Meatball sub, Dr. Pepper",3.0,2,1.0,2,2.0,1,5,3.0,5,2.0,8,1.0,"Crab legs, Mushroom soup, homemade rolls",1,5,3,3,9,7,5.0,5,5,10.0,1.0,2,1.0,1.0,4,5.0,2.0,1.0,2.0,5,580.0,500,4,1,760,167.0
30,4.0,1,1,720,3.0,420.0,2,"cookies, mac-n-cheese, brownies, french fries, ",3.0,1,1.0,1,1.0,1,3,2.0,4,2.0,2,2.0,"french fries, waffles, chocolate",1,3,4,2,7,2,5.0,3,4,8.0,2.0,4,3.0,3.0,3,2.0,3.0,2.0,1.0,3,940.0,500,5,1,1315,115.0
31,4.0,2,1,610,3.0,420.0,2,"chips and dip, pepsi, ",2.0,1,1.0,2,2.0,3,2,3.0,5,2.0,1,1.0,chicken and biscuits,1,5,2,5,5,1,4.0,4,5,3.0,1.0,4,4.0,1.0,3,3.0,4.0,2.0,2.0,4,940.0,690,5,1,1315,205.0
33,2.8,1,1,720,3.0,420.0,1,"Ice cream, cookies,  Chinese food, and chicken nuggets ",4.0,2,2.0,2,1.0,1,2,3.0,4,3.0,1,1.0,"Chicken Nuggets, Mac and Cheese, and pasta",1,3,1,5,7,2,3.0,2,5,3.0,1.0,4,1.0,1.0,3,2.0,3.0,1.0,2.0,1,1165.0,500,3,1,900,128.0
34,3.65,1,1,610,3.0,420.0,2,"french fries, chips, ice cream",4.0,2,1.0,2,1.0,1,3,3.0,2,1.0,1,3.0,"hamburgers, chicken nuggets ",1,5,1,3,1,7,6.0,1,5,3.0,1.0,4,1.0,5.0,4,1.0,2.0,1.0,1.0,3,940.0,345,4,1,1315,150.0
35,3.0,1,1,610,2.0,420.0,2,"mac n cheese, peanut butter and banana sandwich, omelet",1.0,2,1.0,3,1.0,1,2,3.0,2,1.0,5,1.0,"chicken, pasta, stir fry",1,5,3,3,2,6,4.0,1,5,3.0,2.0,2,2.0,1.0,3,2.0,2.0,1.0,1.0,2,940.0,690,5,2,760,150.0
36,3.7,1,1,610,3.0,420.0,2,"pizza, doughnuts, mcdonalds ",3.0,2,1.0,2,2.0,1,4,2.0,4,1.0,1,3.0,"pizza, pasta, grilled cheese ",1,5,2,3,7,5,6.0,2,5,7.0,1.0,3,1.0,2.0,3,1.0,4.0,2.0,1.0,2,1165.0,500,5,2,900,150.0
37,3.4,1,1,720,4.0,420.0,2,"chocolate, chips, candy",2.0,1,6.0,2,2.0,1,2,2.0,4,3.0,1,1.0,Pasta,1,3,4,5,4,2,6.0,3,5,2.0,2.0,4,1.0,1.0,4,3.0,4.0,1.0,1.0,5,940.0,500,4,2,1315,170.0
38,3.89,1,1,610,3.0,980.0,2,"chocolate, popcorn, ice cream",3.0,2,1.0,1,1.0,1,2,3.0,4,2.0,1,1.0,chicken parmesan,1,4,4,3,6,2,5.0,3,5,8.0,2.0,4,1.0,1.0,3,3.0,4.0,1.0,1.0,2,1165.0,690,3,2,1315,150.0
39,3.0,2,1,720,3.0283018867924527,980.0,2,CandyPopChocolate Chipotle Moe's ,5.0,9,1.0,2,2.0,1,5,3.0,3,1.0,2,1.0,Chicken and steak ,1,5,4,1,3,2,6.0,3,4,5.0,2.0,1,2.0,3.0,3,1.0,1.0,1.0,1.0,3,1165.0,690,3,2,1315,175.0
40,3.4,2,1,430,3.0,315.0,1,"Pizza, Ice cream, fries, cereal, cookies  ",3.0,3,1.0,3,2.0,1,2,3.0,4,1.0,1,1.0,"pizza, ice cream. pop tarts ",1,3,1,5,10,2,6.0,3,5,8.0,1.0,3,1.0,1.0,3,3.0,2.0,1.0,1.0,3,940.0,500,4,2,760,140.0
41,2.9,1,1,720,4.0,980.0,2,"Ice cream, chocolate, twizzlers ",2.0,5,1.0,4,1.0,1,4,2.0,4,1.0,1,1.0,Mac cheese ,1,5,2,5,6,3,3.0,3,5,4.0,1.0,4,1.0,1.0,3,2.0,6.0,1.0,2.0,4,940.0,690,5,1,1315,120.0
42,3.6,1,1,610,3.0,420.0,2,"ice cream, cookie dough, cookies, cheese",4.0,2,1.0,2,2.0,1,2,2.0,3,1.0,1,1.0,"French Toast, Grilled Cheese, Orange Chicken",1,5,2,5,6,1,6.0,4,5,7.0,1.0,1,1.0,2.0,3,2.0,3.0,1.0,2.0,4,940.0,500,4,2,900,135.0
44,3.2,1,1,610,4.0,420.0,2,"Potato chips, ice cream, chocolate, cookies",1.0,1,1.0,1,1.0,2,2,2.0,5,1.0,4,1.0,"Mac and Cheese, Hot Dogs, Grilled Cheese",1,5,4,5,8,7,5.0,5,5,10.0,1.0,4,2.0,1.0,6,5.0,3.0,1.0,1.0,5,725.0,500,5,1,760,170.0
45,3.605,1,1,610,3.0,315.0,2,"Mac and cheese, fried chicken, cornbread ",3.0,4,1.0,1,1.0,2,2,2.0,5,1.0,1,1.0,"Hamloaf, tuna fish salad, mac and cheese ",1,5,2,5,3,6,6.0,5,5,3.0,2.0,2,1.0,2.0,4,5.0,1.0,1.0,2.0,5,940.0,500,5,2,900,113.0
46,3.8,2,1,430,2.0,420.0,1,"popcorn, chips, candy, & fries ",3.0,3,1.0,2,2.0,1,2,2.0,4,2.0,1,1.0,"chicken soup,  perogies, & roast beef  ",1,4,1,4,4,5,4.0,3,5,4.0,1.0,3,1.0,2.0,3,3.0,3.0,1.0,1.0,3,725.0,345,4,2,900,168.0
48,3.5,2,2,430,3.0283018867924527,315.0,1,"pizza, ice cream, chips",4.0,1,1.0,2,2.0,1,2,3.0,4,1.0,4,1.0,"Tacos, Spaghetti, and Roast",1,5,2,4,2,7,5.0,4,5,3.0,1.0,3,1.0,1.0,3,4.0,1.0,2.0,1.0,4,940.0,345,5,1,760,155.0
50,3.6,2,1,720,3.0,420.0,2,"Popcorn, Chex Mix, Pizza",5.0,1,1.0,1,1.0,2,2,3.0,2,1.0,5,2.0,Pizza,1,4,3,1,8,4,1.0,1,3,8.0,1.0,5,3.0,1.0,3,1.0,3.0,1.0,2.0,1,1165.0,500,5,2,760,169.0
51,3.3,2,1,610,4.0,980.0,1,Burger,3.0,5,1.0,4,1.0,1,3,3.0,5,1.0,0,1.0,Steak ,1,5,2,5,8,5,6.0,5,5,8.0,1.0,5,1.0,1.0,3,5.0,2.0,1.0,1.0,5,1165.0,500,4,1,1315,185.0
54,3.5,2,1,610,3.0,420.0,2,"peanut butter sandwich, pretzals, garlic bread",1.0,1,2.0,1,1.0,2,3,3.0,5,1.0,1,1.0,Chicken Alfredo,2,5,2,5,10,7,6.0,4,5,10.0,1.0,4,1.0,1.0,6,2.0,2.0,1.0,1.0,4,940.0,690,5,1,900,165.0
55,3.35,1,2,610,2.0,315.0,2,"chips, dip, fries, pizza",3.0,2,1.0,2,2.0,4,5,3.0,3,1.0,1,1.0,steak and cheesy potatoes,1,4,1,3,8,5,3.0,2,5,8.0,1.0,3,1.0,2.0,2,2.0,3.0,1.0,1.0,3,940.0,500,4,2,900,192.0
56,3.8,2,1,720,4.0,315.0,2,"Pizza, Ice Cream, Chicken Wings",3.0,2,1.0,1,1.0,2,4,3.0,5,1.0,4,1.0,Meatloaf,1,5,4,4,1,2,6.0,5,5,1.0,1.0,4,2.0,1.0,4,4.0,2.0,1.0,1.0,5,1165.0,500,5,1,1315,175.0
57,2.8,1,1,610,4.0,980.0,2,Pizza chocolate chips bagels ice Capps ,2.0,9,1.0,1,1.0,2,3,2.0,2,1.0,5,3.0,Pizza pasta and quesadillas ,2,4,2,5,9,2,5.0,2,5,10.0,1.0,5,1.0,1.0,3,1.0,2.0,2.0,1.0,2,725.0,345,4,1,1315,140.0
58,3.5,1,1,610,3.0,420.0,2,"Chocolate, ice cream, pasta",1.0,1,2.0,3,2.0,1,2,2.0,5,2.0,2,1.0,Steak,2,5,3,5,4,6,5.0,5,5,1.0,1.0,2,2.0,1.0,4,4.0,3.0,1.0,1.0,5,1165.0,690,5,1,1315,155.0
