,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,cook,comfort_food_reasons_coded,cuisine,diet_current_coded,drink,eating_changes_coded,eating_out,employment,ethnic_food,exercise,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
59,3.7,1,1,610,3.0283018867924527,420.0,2,Mac n Cheese. Chips and salsa. Ice cream. ,2.0,2,1.0,3,2.0,1,2,3.0,5,1.0,1,3.0,Mac and cheese ,1,5,4,5,7,1,6.0,5,5,10.0,1.0,2,2.0,2.0,3,4.0,3.0,2.0,1.0,5,1165.0,500,4,2,1315,155.0
60,3.6,1,1,610,4.0,420.0,2,"peanut butter, dessets, pretzels. ",2.0,3,1.0,1,2.0,3,5,3.0,5,1.0,2,1.0,lasagna,1,5,1,4,3,6,6.0,1,5,5.0,1.0,4,1.0,1.0,3,1.0,2.0,1.0,1.0,1,1165.0,690,5,1,1315,135.0
62,3.9,2,1,610,4.0,980.0,2,"ice cream, cookies, ice cream",3.0,2,1.0,1,1.0,2,5,2.0,2,1.0,1,1.0,"Pizza, Pasta, Chicken",1,4,4,3,2,7,6.0,2,5,1.0,1.0,4,1.0,2.0,3,2.0,2.0,1.0,1.0,2,1165.0,850,4,1,1315,210.0
64,3.5,1,1,610,3.0,420.0,1,"cookies, nutella, ice cream, coffee, fruit ",1.0,2,1.0,1,1.0,1,3,2.0,4,1.0,4,3.0,"chicken stir fry, spaghetti, chicken parmesan ",1,5,2,4,3,5,2.0,3,5,1.0,2.0,4,1.0,1.0,2,3.0,4.0,2.0,1.0,3,940.0,500,5,1,760,140.0
65,3.2,1,1,610,3.0283018867924527,315.0,2,mac and cheese,2.0,2,2.0,2,1.0,1,3,3.0,3,2.0,1,3.0,"Mac and Cheese, Chicken nuggets",1,3,2,3,3,6,6.0,1,5,3.0,2.0,1,1.0,2.0,5,1.0,2.0,1.0,2.0,4,725.0,500,3,2,900,112.0
66,3.0,1,1,720,3.0,420.0,1,"Chocolate, Popcorn, Icecream",2.0,3,1.0,1,2.0,1,2,3.0,3,1.0,5,1.0,Mac and cheese ,1,5,1,4,3,5,4.0,3,5,3.0,2.0,4,1.0,1.0,3,3.0,2.0,1.0,1.0,3,940.0,500,5,1,900,125.0
68,3.2,1,1,430,3.0,315.0,1,"Chips, Mac and cheese, pizza, French fries ",3.0,1,1.0,1,2.0,1,1,3.0,4,1.0,1,1.0,"Pasta, pizza, meatballs ",1,5,1,3,8,3,6.0,2,5,8.0,2.0,3,1.0,1.0,4,2.0,3.0,1.0,1.0,4,725.0,500,5,2,760,145.0
69,3.67,1,2,720,4.0,420.0,2,"Pizza, burritos, slim jims",2.0,2,1.0,2,2.0,1,2,3.0,2,2.0,1,1.0,"Steak, Garlic and butter noodles, schnitzle",1,3,3,1,3,4,6.0,1,5,3.0,2.0,4,2.0,1.0,3,1.0,3.0,2.0,2.0,5,1165.0,690,5,1,1315,130.0
70,3.73,1,1,610,3.0,980.0,2,"Broccoli, spaghetti squash, quinoa, and grilled chicken",3.0,2,1.0,1,1.0,1,1,2.0,5,2.0,1,1.0,Pizza and Spaghetti,2,5,3,5,3,1,3.0,5,5,2.0,2.0,2,1.0,1.0,3,5.0,3.0,1.0,1.0,5,1165.0,500,5,1,1315,140.0
71,4.0,1,1,720,3.0283018867924527,420.0,2,"Chocolate, ice cream, cookie dough",2.0,2,1.0,1,1.0,1,1,2.0,5,1.0,1,1.0,Spaghetti ,2,5,3,3,5,3,5.0,4,5,2.0,2.0,4,1.0,1.0,6,3.0,4.0,1.0,1.0,4,1165.0,690,5,1,1315,140.0
72,3.1,2,2,610,3.0,980.0,2,"pizza, pretzels, fruit snacks, deli sandwhich",3.0,2,1.0,2,2.0,1,1,2.0,4,2.0,0,2.0,Pizza Mac n Cheese Pasta,1,5,1,2,3,7,5.0,3,5,2.0,1.0,2,1.0,1.0,2,2.0,3.0,1.0,2.0,3,1165.0,345,5,1,1315,140.0
75,3.0,1,1,610,3.0,420.0,2,"mac and cheese, potato soup, ice cream, chips and cheese",3.0,3,1.0,1,1.0,1,2,2.0,5,1.0,1,1.0,"salad, chicken, pizza",1,5,1,3,6,2,5.0,4,5,9.0,2.0,4,1.0,2.0,4,3.0,3.0,1.0,2.0,4,940.0,500,4,1,900,120.0
76,3.7,1,2,610,3.0,420.0,1,"chocolate, pizza, and mashed potatoes",2.0,2,1.0,2,2.0,1,2,2.0,2,2.0,5,3.0,"pizza, mashed potatoes, chocolate chip cookies",1,4,4,2,4,3,3.0,1,5,4.0,1.0,3,2.0,1.0,3,1.0,4.0,2.0,1.0,1,1165.0,690,2,2,1315,150.0
77,3.1,2,2,265,2.0,420.0,1,Pizza cookies steak ,2.0,2,1.0,2,2.0,2,2,2.0,1,2.0,5,2.0,Pizza and wings ,1,3,4,1,4,7,3.0,1,4,5.0,2.0,1,1.0,1.0,3,1.0,3.0,2.0,1.0,2,725.0,345,2,2,900,200.0
78,3.0,1,1,720,3.0,420.0,2,"chocolate, fruit, and ice cream",2.0,1,1.0,3,1.0,1,2,2.0,3,1.0,4,1.0,"tacos, pizza, chicken wing dip",2,5,2,4,8,3,5.0,3,4,8.0,2.0,4,1.0,1.0,3,2.0,3.0,1.0,1.0,3,580.0,345,4,1,1315,135.0
79,3.9,2,1,720,3.0,420.0,2,Chips sweets popcorn,5.0,2,1.0,2,2.0,1,1,3.0,5,1.0,4,1.0,Sloppy joes,1,5,1,5,1,8,6.0,4,5,3.0,1.0,4,1.0,1.0,3,4.0,2.0,1.0,1.0,5,1165.0,850,4,2,1315,145.0
80,3.4,1,1,430,2.0,420.0,2,"Cookies, burgers, chicken noodle soup, ice cream",3.0,7,1.0,2,2.0,1,3,2.0,4,2.0,1,3.0,"Spaghetti and Meatballs, Steak, and Burgers",1,3,1,3,4,2,4.0,3,5,1.0,1.0,2,1.0,1.0,3,3.0,3.0,1.0,2.0,4,1165.0,500,2,1,900,130.0
81,3.5,1,2,610,3.0,420.0,1,"cake, French fries, chicken nuggets",3.0,2,1.0,2,2.0,1,3,3.0,4,1.0,1,1.0,"chicken fingers, pasta, pizza",1,4,4,4,2,3,4.0,4,5,2.0,2.0,2,1.0,3.0,5,4.0,4.0,2.0,1.0,4,725.0,500,2,2,900,190.0
84,3.83,1,1,720,3.0,420.0,2,"Pasta dishes, Cheesecake, Pancakes",1.0,3,1.0,1,2.0,2,2,3.0,5,1.0,2,3.0,Spaghetti and Pop-tarts,1,5,2,5,9,5,5.0,5,5,9.0,2.0,5,1.0,1.0,3,4.0,2.0,1.0,1.0,5,725.0,690,5,1,760,167.0
85,2.6,1,1,265,3.0,315.0,2,"Ice cream, pizza, cookies",3.0,1,1.0,3,2.0,1,3,2.0,3,3.0,4,3.0,"Pasta, breakfast for dinner, pizza",1,5,1,4,7,5,6.0,2,5,7.0,2.0,3,1.0,2.0,3,3.0,3.0,1.0,2.0,3,580.0,500,4,1,760,140.0
86,3.0,1,1,610,3.0,420.0,2,"Chinese food, moes, sponge candy, homemade lasagne ",2.0,2,1.0,1,2.0,2,1,3.0,4,2.0,4,3.0,"peanut butter and jelly, celery and peanut butter, hot pockets ",1,5,1,4,3,5,6.0,4,5,1.0,1.0,5,1.0,1.0,3,3.0,4.0,1.0,1.0,4,580.0,500,4,1,900,190.0
87,3.2,2,1,720,3.0,420.0,1,"pizza, pasta, mac and cheese",4.0,3,1.0,2,2.0,1,2,2.0,3,1.0,5,2.0,pizza,1,4,2,1,5,2,6.0,1,5,4.0,1.0,2,1.0,1.0,3,1.0,4.0,1.0,1.0,1,1165.0,690,4,1,1315,155.0
89,3.2,1,1,610,3.0,420.0,2,"carrots, plantain chips, almonds, popcorn ",3.0,1,1.0,2,1.0,2,2,2.0,5,1.0,4,1.0,"Jollof Rice, Bread, pasta ",2,5,3,4,7,2,3.0,5,5,1.0,1.0,5,1.0,2.0,3,4.0,3.0,1.0,2.0,5,1165.0,500,5,1,900,129.0
90,3.68,2,1,720,4.0,420.0,2,"chips, ice cream, fruit snacks",4.0,2,1.0,1,2.0,2,2,3.0,3,1.0,1,1.0,"Chinese food, pizza, chicken adobo",1,5,1,4,7,4,6.0,3,5,8.0,1.0,2,1.0,1.0,4,3.0,4.0,2.0,1.0,3,1165.0,850,4,1,1315,260.0
91,3.8,1,2,610,2.0,420.0,2,"Macaroni and cheese, chicken noodle soup, pizza",2.0,2,1.0,2,2.0,1,3,2.0,2,2.0,5,3.0,"Pasta, chicken, pizza ",1,2,3,1,5,2,6.0,1,4,2.0,2.0,3,2.0,3.0,3,1.0,3.0,1.0,2.0,1,725.0,500,1,2,900,135.0
92,3.3,2,2,720,3.0283018867924527,420.0,2,"Chocolate, Chips, Ice cream, French Fires, Pizza",2.0,1,1.0,2,2.0,2,5,2.0,1,3.0,5,1.0,"Steak, Chicken Tenders, Pizza",1,1,3,1,8,3,3.0,1,5,1.0,2.0,2,1.0,1.0,3,1.0,4.0,1.0,1.0,1,1165.0,690,4,2,900,190.0
93,3.2,2,1,720,3.0283018867924527,420.0,2,"Mac and cheese, lasagna, Chinese food ",4.0,2,1.0,2,2.0,1,2,3.0,5,3.0,1,1.0,"Spaghetti, Italian potato soup",1,4,1,4,6,2,4.0,5,5,6.0,1.0,1,1.0,1.0,4,5.0,3.0,1.0,2.0,5,1165.0,690,5,2,1315,165.0
95,3.5,2,1,265,3.0283018867924527,420.0,2,"Doritos, mac and cheese, ice cream",3.0,2,1.0,2,2.0,1,2,3.0,4,1.0,5,3.0,Macaroni and Cheese,1,4,3,4,10,6,5.0,3,5,10.0,2.0,3,1.0,1.0,3,3.0,2.0,2.0,1.0,4,1165.0,690,4,2,1315,184.0
96,3.92,2,1,430,3.0,420.0,2,"Ice cream, cake, pop, pizza, and milkshakes.",2.0,7,2.0,2,2.0,2,2,2.0,4,2.0,1,3.0,Pizza,1,3,1,3,2,2,6.0,3,5,8.0,1.0,2,1.0,2.0,3,3.0,6.0,1.0,2.0,3,725.0,500,2,1,900,210.0
97,3.9,1,1,720,3.0,420.0,2,"Mac and Cheese, Pizza, Ice Cream and French Fries ",3.0,2,1.0,1,2.0,2,2,2.0,3,1.0,1,1.0,"Chicken Parm, Spaghetti, and Grilled Cheese",1,5,2,2,1,2,5.0,2,5,1.0,1.0,4,1.0,1.0,5,1.0,3.0,1.0,1.0,3,1165.0,500,5,2,760,155.0
99,3.2,1,1,430,4.0,420.0,1,"mac & cheese, frosted brownies, chicken nuggs",4.0,3,2.0,2,1.0,2,3,2.0,3,1.0,1,1.0,"chicken, macaroni & cheese, cheesy potatoes",1,5,1,3,3,4,4.0,1,5,2.0,2.0,2,1.0,1.0,3,1.0,3.0,1.0,1.0,1,1165.0,690,5,1,900,165.0
101,3.4,1,1,610,3.0283018867924527,420.0,2,"macaroni and cheese, stuffed peppers, hamburgers, french fries",3.0,2,1.0,2,2.0,1,2,2.0,5,3.0,4,3.0,"chicken nuggets, macaroni and cheese",1,5,1,5,3,2,5.0,4,5,3.0,1.0,4,1.0,1.0,2,4.0,5.0,1.0,2.0,3,1165.0,500,5,2,1315,160.0
103,3.7,1,1,610,3.0,420.0,2,"dark chocolate, terra chips, reese's cups(dark chocolate), and bread/crackers with cottage cheese",2.0,5,1.0,1,1.0,1,2,2.0,5,2.0,8,1.0,Tortellini and Broccoli with parmesan cheese and homemade breaded chicken with sweet potato,1,5,3,3,4,2,4.0,5,5,8.0,1.0,4,1.0,2.0,3,3.0,6.0,1.0,2.0,3,725.0,345,5,1,760,130.0
107,3.8,1,1,430,3.0,420.0,1,"Chocolate, Pasta, Cookies",2.0,1,1.0,1,1.0,1,2,2.0,4,1.0,1,3.0,dino chicken nuggets,1,4,2,3,5,2,4.0,3,5,4.0,1.0,2,1.0,1.0,3,2.0,4.0,1.0,2.0,5,1165.0,690,4,2,900,165.0
108,3.8,1,1,430,2.0,420.0,2,"Candy, salty snacks, toast",5.0,1,1.0,1,2.0,1,2,3.0,2,1.0,1,2.0,Spaghetti and chicken parm,1,5,2,2,6,1,6.0,5,5,5.0,2.0,4,1.0,2.0,3,2.0,3.0,1.0,1.0,2,580.0,345,5,2,760,128.0
109,3.4,1,1,610,3.0,420.0,2,"Mac in cheese, pizza, mozzarella sticks ",2.0,1,1.0,2,2.0,2,3,2.0,2,3.0,1,2.0,Chicken parm. ,1,4,2,2,5,2,6.0,1,5,1.0,1.0,4,1.0,2.0,3,1.0,5.0,1.0,2.0,2,940.0,690,3,1,1315,200.0
110,3.7,1,1,610,3.0,315.0,1,"Ice-cream, pizza, chocolate",3.0,3,2.0,2,1.0,1,4,3.0,3,2.0,1,1.0,Spaghetti,1,3,4,4,8,2,3.0,3,5,9.0,2.0,3,2.0,2.0,4,4.0,3.0,1.0,1.0,3,580.0,690,3,2,900,160.0
111,2.9,2,1,265,2.0,980.0,2,"snacks, chips, ",2.0,2,1.0,1,2.0,2,2,2.0,3,2.0,0,1.0,"Pizza, Pita, Lasagna",1,3,3,5,9,2,5.0,1,3,7.0,1.0,4,3.0,1.0,6,1.0,3.0,1.0,2.0,1,725.0,345,3,2,1315,170.0
112,3.9,1,1,610,4.0,315.0,2,"Chocolate, Ice cream, pizza",1.0,3,1.0,1,1.0,2,4,3.0,5,1.0,1,3.0,"Mac & Cheese, Chicken, Stir Fry ",1,5,4,5,10,4,6.0,5,5,9.0,2.0,4,1.0,2.0,3,5.0,3.0,1.0,2.0,5,725.0,500,3,2,900,129.0
113,3.6,1,1,430,2.0,420.0,1,"ice cream, pizza, Chinese food ",2.0,2,1.0,2,2.0,1,3,2.0,3,2.0,1,1.0,Mac and Cheese ,1,4,4,3,9,7,6.0,2,5,1.0,2.0,4,1.0,2.0,3,3.0,4.0,1.0,2.0,2,1165.0,690,2,2,900,170.0
114,2.8,2,1,610,3.0,315.0,2,"Burgers, indian and korean food",3.0,3,4.0,2,2.0,1,3,3.0,4,2.0,4,3.0,"Dumplings, Chicken Curry and Pizza",1,4,2,3,7,2,3.0,5,4,7.0,2.0,3,1.0,1.0,5,3.0,1.0,1.0,1.0,5,940.0,850,3,2,760,138.0
115,3.3,2,1,610,4.0,980.0,2,"chocolate bar, ice cream, pretzels, potato chips and protein bars.",4.0,1,1.0,2,2.0,1,2,2.0,2,1.0,0,3.0,"Pasta, Pizza, Popcorn",1,5,1,1,10,3,6.0,1,4,10.0,2.0,1,1.0,1.0,5,2.0,2.0,1.0,1.0,1,1165.0,690,2,2,1315,150.0
116,3.4,1,1,610,3.0283018867924527,420.0,2,"Ice cream, chocolate, pizza, cucumber ",3.0,2,1.0,2,1.0,1,4,3.0,4,2.0,4,2.0,"Fry Chicken, Rice Vegetable",1,5,1,1,5,5,1.0,3,5,2.0,1.0,2,1.0,2.0,3,1.0,4.0,1.0,2.0,5,725.0,345,5,1,1315,170.0
117,3.77,1,1,610,3.0283018867924527,315.0,2,"Noodle ( any kinds of noodle), Tuna sandwich, and Egg.",3.0,5,4.0,1,1.0,2,2,2.0,4,1.0,4,3.0,"Noodle, Wings, and Tiramisu",1,3,2,2,9,2,2.0,2,4,7.0,1.0,2,1.0,1.0,2,2.0,4.0,1.0,2.0,5,725.0,690,3,1,760,113.0
118,3.63,1,1,430,3.0,420.0,1,"Chinese, chips, cake",3.0,1,1.0,2,1.0,2,2,2.0,4,2.0,5,1.0,Chinese,1,5,2,3,5,5,3.0,3,5,8.0,2.0,2,3.0,3.0,4,2.0,4.0,1.0,2.0,4,940.0,345,5,2,1315,140.0
119,3.2,2,1,610,3.0,420.0,2,"chips, rice, chicken curry,",2.0,7,5.0,2,1.0,2,2,2.0,5,2.0,8,3.0,"pizza, burger, pasta",1,5,4,5,7,3,2.0,5,5,6.0,2.0,2,1.0,1.0,3,5.0,4.0,1.0,1.0,5,1165.0,690,5,2,1315,185.0
120,3.5,1,1,610,4.0,420.0,2,"wine. mac and cheese, pizza, ice cream ",3.0,2,1.0,2,2.0,1,2,1.0,4,2.0,1,1.0,Stromboli Mac and Cheese and Pizza,1,5,4,5,5,6,4.0,3,5,7.0,1.0,5,3.0,1.0,4,3.0,4.0,1.0,1.0,5,940.0,500,5,1,1315,156.0
122,3.882,1,1,720,3.0283018867924527,420.0,1,"rice, potato, seaweed soup",3.0,3,1.0,2,1.0,1,3,3.0,5,2.0,4,1.0,Rice and potato,1,4,3,5,6,2,2.0,5,3,10.0,1.0,3,1.0,2.0,4,5.0,4.0,1.0,2.0,5,580.0,690,4,2,1315,120.0
123,3.0,2,1,720,4.0,420.0,1,"Mac n Cheese, Lasagna, Pizza",3.0,7,1.0,1,2.0,1,5,2.0,2,1.0,1,3.0,pizza and spaghetti ,1,5,1,1,1,6,4.0,1,5,1.0,1.0,4,1.0,2.0,3,1.0,2.0,2.0,2.0,1,940.0,500,3,1,1315,135.0
